"","Country","Date","Infectados","Muertos","NI","NM","Letalidad","IDA","MDA","FCI","FCM","Dia"
"1","Mexico",2020-02-28,1,0,1,0,0,NA,NA,NA,NA,1
"2","Mexico",2020-02-29,4,0,3,0,0,1,0,4,NA,2
"3","Mexico",2020-03-01,5,0,1,0,0,4,0,1.25,NA,3
"4","Mexico",2020-03-02,5,0,0,0,0,5,0,1,NA,4
"5","Mexico",2020-03-03,5,0,0,0,0,5,0,1,NA,5
"6","Mexico",2020-03-04,5,0,0,0,0,5,0,1,NA,6
"7","Mexico",2020-03-05,5,0,0,0,0,5,0,1,NA,7
"8","Mexico",2020-03-06,6,0,1,0,0,5,0,1.2,NA,8
"9","Mexico",2020-03-07,6,0,0,0,0,6,0,1,NA,9
"10","Mexico",2020-03-08,7,0,1,0,0,6,0,1.16666666666667,NA,10
"11","Mexico",2020-03-09,7,0,0,0,0,7,0,1,NA,11
"12","Mexico",2020-03-10,7,0,0,0,0,7,0,1,NA,12
"13","Mexico",2020-03-11,8,0,1,0,0,7,0,1.14285714285714,NA,13
"14","Mexico",2020-03-12,12,0,4,0,0,8,0,1.5,NA,14
"15","Mexico",2020-03-13,26,0,14,0,0,12,0,2.16666666666667,NA,15
"16","Mexico",2020-03-14,41,0,15,0,0,26,0,1.57692307692308,NA,16
"17","Mexico",2020-03-15,53,0,12,0,0,41,0,1.29268292682927,NA,17
"18","Mexico",2020-03-16,82,0,29,0,0,53,0,1.54716981132075,NA,18
"19","Mexico",2020-03-17,93,0,11,0,0,82,0,1.13414634146341,NA,19
"20","Mexico",2020-03-18,118,0,25,0,0,93,0,1.26881720430108,NA,20
"21","Mexico",2020-03-19,164,1,46,1,0.6,118,0,1.38983050847458,Inf,21
"22","Mexico",2020-03-20,203,2,39,1,1,164,1,1.23780487804878,2,22
"23","Mexico",2020-03-21,251,2,48,0,0.8,203,2,1.23645320197044,1,23
"24","Mexico",2020-03-22,316,3,65,1,0.9,251,2,1.25896414342629,1.5,24
"25","Mexico",2020-03-23,367,4,51,1,1.1,316,3,1.16139240506329,1.33333333333333,25
"26","Mexico",2020-03-24,405,5,38,1,1.2,367,4,1.10354223433243,1.25,26
"27","Mexico",2020-03-25,475,6,70,1,1.3,405,5,1.17283950617284,1.2,27
"28","Mexico",2020-03-26,585,8,110,2,1.4,475,6,1.23157894736842,1.33333333333333,28
"29","Mexico",2020-03-27,717,12,132,4,1.7,585,8,1.22564102564103,1.5,29
"30","Mexico",2020-03-28,848,16,131,4,1.9,717,12,1.18270571827057,1.33333333333333,30
"31","Mexico",2020-03-29,993,20,145,4,2,848,16,1.17099056603774,1.25,31
"32","Mexico",2020-03-30,1094,28,101,8,2.6,993,20,1.10171198388721,1.4,32
"33","Mexico",2020-03-31,1215,29,121,1,2.4,1094,28,1.11060329067642,1.03571428571429,33
"34","Mexico",2020-04-01,1378,37,163,8,2.7,1215,29,1.13415637860082,1.27586206896552,34
